;time;id;x;y;angle;type;speed;pos;lane;slope
167488;6,484444444444445;dv_6_126;5187,35;3972,83;308,73;delivery_6;49,248;0,45022;816623833#4_0;0,0
167496;6,4845138888888885;dv_6_126;5184,69;3975,0;309,15;delivery_6;49,5;0,44678;816623833#4_0;0,0
167505;6,484583333333333;dv_6_126;5182,08;3977,13;309,15;delivery_6;48,6;0,4434;816623833#4_0;0,0
167514;6,484652777777778;dv_6_126;5179,46;3979,26;309,15;delivery_6;48,744;0,44001999999999997;816623833#4_0;0,0
167523;6,4847222222222225;dv_6_126;5176,8;3981,42;309,15;delivery_6;49,392;0,43659;816623833#4_0;0,0
167532;6,484791666666666;dv_6_126;5174,19;3983,55;309,15;delivery_6;48,528000000000006;0,43322;816623833#4_0;0,0
167541;6,484861111111111;dv_6_126;5171,54;3985,7;309,15;delivery_6;49,176;0,42979999999999996;816623833#4_0;0,0
167550;6,484930555555556;dv_6_126;5168,88;3987,87;309,15;delivery_6;49,572;0,42635999999999996;816623833#4_0;0,0
167559;6,485;dv_6_126;5166,26;3990,01;309,15;delivery_6;48,78;0,42297999999999997;816623833#4_0;0,0
167568;6,485069444444444;dv_6_126;5163,61;3992,16;309,15;delivery_6;49,248;0,41955;816623833#4_0;0,0
167577;6,485138888888889;dv_6_126;5161,17;3994,5;311,58;delivery_6;48,744;0,41617;816623833#4_0;0,0
167586;6,4852083333333335;dv_6_126;5158,82;3996,96;315,33;delivery_6;48,996;0,41276999999999997;816623833#4_0;0,0
167595;6,485277777777778;dv_6_126;5156,48;3999,41;316,32;delivery_6;48,924;0,40937;816623833#4_0;0,0
167604;6,485347222222222;dv_6_126;5154,12;4001,88;316,32;delivery_6;49,176;0,40595;816623833#4_0;0,0
167613;6,485416666666667;dv_6_126;5151,77;4004,34;316,32;delivery_6;49,14;0,40254;816623833#4_0;0,0
167622;6,485486111111111;dv_6_126;5149,4;4006,82;316,32;delivery_6;49,428000000000004;0,39910999999999996;816623833#4_0;0,0
167631;6,485555555555556;dv_6_126;5147,04;4009,29;316,32;delivery_6;49,32;0,39569;816623833#4_0;0,0
167641;6,485625;dv_6_126;5144,69;4011,76;316,32;delivery_6;49,104000000000006;0,39227999999999996;816623833#4_0;0,0
167651;6,485694444444444;dv_6_126;5142,33;4014,23;316,32;delivery_6;49,284;0,38885;816623833#4_0;0,0
167661;6,485763888888889;dv_6_126;5139,97;4016,7;316,32;delivery_6;49,32;0,38543;816623833#4_0;0,0
167671;6,485833333333333;dv_6_126;5137,61;4019,17;316,32;delivery_6;49,14;0,38201999999999997;816623833#4_0;0,0
167681;6,485902777777778;dv_6_126;5135,29;4021,6;316,32;delivery_6;48,528000000000006;0,37865;816623833#4_0;0,0
167692;6,485972222222222;dv_6_126;5132,96;4024,04;316,32;delivery_6;48,6;0,37527;816623833#4_0;0,0
167703;6,486041666666667;dv_6_126;5130,58;4026,53;316,32;delivery_6;49,644;0,37182;816623833#4_0;0,0
167714;6,486111111111111;dv_6_126;5128,24;4028,98;316,32;delivery_6;48,888;0,36843;816623833#4_0;0,0
167725;6,486180555555555;dv_6_126;5125,88;4031,45;316,32;delivery_6;49,176;0,36501;816623833#4_0;0,0
167736;6,48625;dv_6_126;5123,54;4033,9;316,32;delivery_6;48,888;0,36162;816623833#4_0;0,0
167747;6,486319444444445;dv_6_126;5121,21;4036,35;316,32;delivery_6;48,744;0,35823;816623833#4_0;0,0
167758;6,4863888888888885;dv_6_126;5118,87;4038,79;316,32;delivery_6;48,816;0,35484;816623833#4_0;0,0
167769;6,486458333333333;dv_6_126;5116,54;4041,23;316,32;delivery_6;48,564;0,35147;816623833#4_0;0,0
167780;6,486527777777778;dv_6_126;5114,16;4043,72;316,32;delivery_6;49,644;0,34802;816623833#4_0;0,0
167791;6,486597222222223;dv_6_126;5111,82;4046,18;316,32;delivery_6;48,996;0,34462;816623833#4_0;0,0
167802;6,486666666666666;dv_6_126;5109,48;4048,62;316,32;delivery_6;48,708;0,34124;816623833#4_0;0,0
167813;6,486736111111111;dv_6_126;5107,17;4051,04;316,32;delivery_6;48,348;0,33787999999999996;816623833#4_0;0,0
167824;6,486805555555556;dv_6_126;5104,81;4053,52;316,32;delivery_6;49,32;0,33446;816623833#4_0;0,0
167835;6,486875;dv_6_126;5102,47;4055,96;316,32;delivery_6;48,744;0,33107;816623833#4_0;0,0
