;time;id;x;y;angle;type;speed;pos;lane;slope
130070;6,207152777777778;dv_6_4;5187,64;3968,47;307,87;delivery_6;47,844;0,4532;816623833#4_1;0,0
130083;6,207222222222223;dv_6_4;5185,09;3970,55;308,79;delivery_6;47,34;0,44991;816623833#4_1;0,0
130096;6,207291666666666;dv_6_4;5182,47;3972,68;309,16;delivery_6;48,492000000000004;0,44654;816623833#4_1;0,0
130109;6,207361111111111;dv_6_4;5179,91;3974,77;309,16;delivery_6;47,664;0,44323;816623833#4_1;0,0
130123;6,207430555555556;dv_6_4;5177,33;3976,87;309,16;delivery_6;47,772;0,43990999999999997;816623833#4_1;0,0
130137;6,2075;dv_6_4;5174,77;3978,95;309,16;delivery_6;47,376000000000005;0,43662;816623833#4_1;0,0
130151;6,207569444444444;dv_6_4;5172,21;3981,04;309,16;delivery_6;47,484;0,43333;816623833#4_1;0,0
130165;6,207638888888889;dv_6_4;5169,63;3983,14;309,16;delivery_6;47,88;0,43;816623833#4_1;0,0
130180;6,207708333333334;dv_6_4;5167,07;3985,22;309,16;delivery_6;47,484;0,42669999999999997;816623833#4_1;0,0
130195;6,207777777777777;dv_6_4;5164,52;3987,3;309,16;delivery_6;47,268;0,42342;816623833#4_1;0,0
130210;6,207847222222222;dv_6_4;5161,96;3989,39;309,16;delivery_6;47,664;0,42011;816623833#4_1;0,0
130226;6,207916666666667;dv_6_4;5159,51;3991,62;310,77;delivery_6;47,7;0,4168;816623833#4_1;0,0
130242;6,207986111111111;dv_6_4;5157,23;3994,0;314,39;delivery_6;47,376000000000005;0,41351;816623833#4_1;0,0
130258;6,208055555555555;dv_6_4;5154,92;3996,43;316,31;delivery_6;48,24;0,41015999999999997;816623833#4_1;0,0
130274;6,208125;dv_6_4;5152,6;3998,85;316,31;delivery_6;48,204;0,40681;816623833#4_1;0,0
130291;6,208194444444445;dv_6_4;5150,3;4001,25;316,31;delivery_6;47,808;0,40349;816623833#4_1;0,0
130308;6,208263888888889;dv_6_4;5147,98;4003,69;316,31;delivery_6;48,42;0,40013;816623833#4_1;0,0
130325;6,208333333333333;dv_6_4;5145,66;4006,11;316,31;delivery_6;48,204;0,39677999999999997;816623833#4_1;0,0
130343;6,208402777777778;dv_6_4;5143,39;4008,49;316,31;delivery_6;47,232;0,39349999999999996;816623833#4_1;0,0
130361;6,208472222222222;dv_6_4;5141,13;4010,86;316,31;delivery_6;47,16;0,39022;816623833#4_1;0,0
130379;6,208541666666667;dv_6_4;5138,81;4013,29;316,31;delivery_6;48,312;0,38687;816623833#4_1;0,0
130398;6,208611111111111;dv_6_4;5136,51;4015,7;316,31;delivery_6;47,88;0,38354;816623833#4_1;0,0
130417;6,2086805555555555;dv_6_4;5134,21;4018,1;316,31;delivery_6;47,844;0,38022;816623833#4_1;0,0
130436;6,20875;dv_6_4;5131,9;4020,52;316,31;delivery_6;48,096;0,37688;816623833#4_1;0,0
130455;6,208819444444444;dv_6_4;5129,6;4022,93;316,31;delivery_6;47,844;0,37356;816623833#4_1;0,0
130475;6,208888888888889;dv_6_4;5127,3;4025,34;316,31;delivery_6;47,988;0,37023;816623833#4_1;0,0
130495;6,208958333333333;dv_6_4;5125,03;4027,71;316,31;delivery_6;47,196;0,36695;816623833#4_1;0,0
130515;6,209027777777778;dv_6_4;5122,71;4030,14;316,31;delivery_6;48,384;0,36358999999999997;816623833#4_1;0,0
130535;6,209097222222222;dv_6_4;5120,38;4032,58;316,31;delivery_6;48,456;0,36023;816623833#4_1;0,0
130556;6,2091666666666665;dv_6_4;5118,1;4034,96;316,31;delivery_6;47,448;0,35692999999999997;816623833#4_1;0,0
130577;6,209236111111111;dv_6_4;5115,83;4037,34;316,31;delivery_6;47,34;0,35365;816623833#4_1;0,0
130598;6,209305555555556;dv_6_4;5113,53;4039,75;316,31;delivery_6;47,808;0,35033;816623833#4_1;0,0
130620;6,209375;dv_6_4;5111,23;4042,16;316,31;delivery_6;47,88;0,347;816623833#4_1;0,0
130642;6,209444444444444;dv_6_4;5108,95;4044,54;316,31;delivery_6;47,484;0,3437;816623833#4_1;0,0
130664;6,209513888888889;dv_6_4;5106,64;4046,96;316,31;delivery_6;48,132;0,34036;816623833#4_1;0,0
130686;6,209583333333334;dv_6_4;5104,31;4049,4;316,31;delivery_6;48,42;0,33699999999999997;816623833#4_1;0,0
130708;6,2096527777777775;dv_6_4;5101,98;4051,84;316,31;delivery_6;48,492000000000004;0,33363;816623833#4_1;0,0
130730;6,209722222222222;dv_6_4;5099,67;4054,26;316,31;delivery_6;48,204;0,33028;816623833#4_1;0,0
130752;6,209791666666667;dv_6_4;5097,37;4056,67;316,31;delivery_6;47,916000000000004;0,32696000000000003;816623833#4_1;0,0
130774;6,2098611111111115;dv_6_4;5095,09;4059,05;316,31;delivery_6;47,412;0,32365999999999995;816623833#4_1;0,0
130796;6,209930555555555;dv_6_4;5092,79;4061,46;316,31;delivery_6;47,844;0,32033999999999996;816623833#4_1;0,0
130818;6,21;dv_6_4;5090,48;4063,87;316,31;delivery_6;48,096;0,31699999999999995;816623833#4_1;0,0
130840;6,210069444444445;dv_6_4;5088,19;4066,28;316,31;delivery_6;47,844;0,31367999999999996;816623833#4_1;0,0
130861;6,210138888888889;dv_6_4;5085,89;4068,68;316,31;delivery_6;47,772;0,31035999999999997;816623833#4_1;0,0
130882;6,210208333333333;dv_6_4;5083,55;4071,13;316,31;delivery_6;48,708;0,30698;816623833#4_1;0,0
130902;6,210277777777778;dv_6_4;5081,25;4073,56;316,44;delivery_6;48,24;0,30362999999999996;816623833#4_1;0,0
130922;6,2103472222222225;dv_6_4;5078,96;4076,01;316,72;delivery_6;48,168000000000006;0,30028999999999995;816623833#4_1;0,0
130942;6,210416666666666;dv_6_4;5076,69;4078,43;316,85;delivery_6;47,772;0,29696999999999996;816623833#4_1;0,0
130963;6,210486111111111;dv_6_4;5074,4;4080,87;316,85;delivery_6;48,168000000000006;0,29362999999999995;816623833#4_1;0,0
130984;6,210555555555556;dv_6_4;5072,13;4083,28;316,85;delivery_6;47,519999999999996;0,29031999999999997;816623833#4_1;0,0
131005;6,210625;dv_6_4;5069,85;4085,73;316,85;delivery_6;48,132;0,28698;816623833#4_1;0,0
